amount,details,expenseDate,card,requiredType,occurance,category,frequency
487,ATO*R R VATIKABANGALOREIN (Hotel Dinner),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
800,Indigo for travel certificate,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,One Time,Monthly
99,KFC RESTAURANTS BANGALORE IN,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
1118,OLA Cabs,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Local Transport,Monthly
611,SWIGGYBengaluruIN,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
423,GREEN HOUSEBANGALOREI (Grocery),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
99,KFC RESTAURANTS BANGALORE IN,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
399,Airtel,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Regular Expenses,Monthly
399,Airtel,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Regular Expenses,Monthly
5000,Yelgur,2020-02-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,One Time,Monthly
220,Amazon (dustbin bags) (Grocery),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
378,Haircut (Saket),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Regular Expenses,Monthly
189,Medicine (Medical),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
276,Vegetables (Grocery),2020-02-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Grocery,Monthly
702,Vegetables (Grocery),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1619,Brew Kings (Hotel),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
380,Amazon (Gift ),2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
4800,Home Expense,2020-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
900,Zomato Membership,2020-02-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
1574,Mintra (pinky),2020-02-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Clothing,Monthly
863,Cylender,2020-02-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,Recursive,Regular Expenses,Monthly
3200,Zing cash,2020-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
6000,Home Expense,2020-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1600,Stuti VAN,2020-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
299,ATRIA CONVERGENCE TECHMUMBAIIN (Cable),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
3156,Band factory (Shoes & Bag for Saket),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
386,Vegetables (Grocery),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
238,APOLLO HOSPITALS ENTER BANGALORE IN (Medical),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
250,Cake (Grocery),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
1477,BESCOM,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
589,Airtel,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
6701,DMART AVENUE (Grocery),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
365,Vegetables (Grocery),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
236,Grocery,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
184,KFC RESTAURANTS BANGALORE IN,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Hotel,Monthly
1258,Hotel (Zing),2020-03-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Hotel,Monthly
1500,SRI RAJA RAJESHWARI FILBENGALURUIN (Petrol),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
1423,Grocery,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
572,Amazon (Book for Saket),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
386,Reliance fresh (Ice Cream) (Grocery),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
453,Vegetables (Grocery),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
142,Debit card charges,2020-03-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Yearly,Monthly
600,Recharge for Curd in App,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Regular Expenses,Monthly
595,Vegetables (Grocery),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
49,Recharge mobile - pinky mammy,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Regular Expenses,Monthly
160,Courier for Saket shirt exchange,2020-03-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Education,Monthly
833,Grocery,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
1695,Monthly milk,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
7565,Saket books and uniform,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
859,OLA Cabs,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Local Transport,Monthly
386,T Shirt pinky,2020-03-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Clothing,Monthly
799,T Shirt pinky,2020-03-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Must,One Time,Clothing,Monthly
232,APOLLO HOSPITALS ENTER BANGALORE IN (Medical),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
528,Vegetables (Grocery),2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
1184,Grocery,2020-03-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
14820,Melody,2020-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
10000,Pinky,2020-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
3200,Zing cash,2020-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1600,Stuti VAN,2020-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
314,ATRIA CONVERGENCE TECHMUMBAIIN (Cable),2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1800,Monthly milk,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
589,Airtel,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
8000,Home Expense,2020-04-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
5362,BBMP Property tax (20-21),2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Yearly,Monthly
1420,Grocery,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
744,Cooking gas,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Regular Expenses,Monthly
1389,BESCOM,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
399,Airtel,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Regular Expenses,Monthly
2360,Locker charges,2020-04-01T11:08:39.000+00:00,Pinky Canara Debit Card,Must,One Time,Yearly,Monthly
1159,Medicine (Medical),2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
520,Meat factory (Grocery),2020-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
250,Cake (Grocery),2020-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
5764,Grocery,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Grocery,Monthly
7650,Home Expense,2020-05-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
2110,Zing cash,2020-05-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1200,Stuti dance tuition fee,2020-05-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
1600,Stuti VAN,2020-05-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
650,Vegetables (Grocery),2020-04-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
399,Airtel,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,Recursive,Regular Expenses,Monthly
462,Grocery,2020-04-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
312,ATRIA CONVERGENCE TECHMUMBAIIN (Cable),2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
5699,Grocery,2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
589,Airtel,2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
205,Sub way for Saket,2020-05-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
250,Mangoes (Grocery),2020-05-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
1800,Monthly milk,2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
760,Eye doctor for Saket (Medical),2020-05-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Medical,Monthly
2060,Grocery,2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
660,Masks,2020-05-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Clothing,Monthly
1327,Grocery,2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
1682,D Mart (Chairs + addon) (Grocery),2020-05-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
300,Mangoes (Grocery),2020-05-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
120,Medicine for pinky (Medical),2020-05-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Medical,Monthly
948,Medicine (Medical),2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
420,Cake (Grocery),2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
353,Vegetables (Grocery),2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
8286,DMART AVENUE (Grocery),2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
645,Grocery,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
7400,Home Expense,2020-06-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
2180,BESCOM,2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
400,Doctor (Medical),2020-05-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
40000,Deeksha (College),2020-06-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Yearly,Yearly
65819,Baldwin for Stuti fees,2020-06-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,One Time,Yearly,Yearly
312,ATRIA CONVERGENCE TECHMUMBAIIN (Cable),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
269,Grocery,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
1470,Cooker,2020-06-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Grocery,Monthly
2700,Zing cash,2020-06-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
337,Vegetables (Grocery),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
602,Cylender,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1838,BESCOM,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
399,Airtel,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
821,Gift to Golu,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Gift,Monthly
600,Stuti dance tuition fee,2020-06-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
2679,Saket Shoes,2020-06-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Must,One Time,Clothing,Monthly
2000,Transfer to Kundagol,2020-06-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Must,One Time,Donation,Monthly
1886,Milk refill,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
589,Airtel,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
399,Airtel,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
5121,Internet for 7 months,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Yearly,Monthly
277,Stuti Stationary,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
546,Meat factory (Grocery),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
300,Snacks (Grocery),2020-06-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
225,Rusk (Grocery),2020-06-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
916,Grocery,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
165,Medicine (Medical),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
465,Vegetables (Grocery),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
80,Chips (Grocery),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
180,Snacks (Grocery),2020-06-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Must,One Time,Grocery,Monthly
1483,Chinni's shrts,2020-06-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Clothing,Monthly
798,"Stylus, Watch for Chinnni",2020-06-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Clothing,Monthly
5147,Grocery,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
325,Vegetables (Grocery),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
299,Vegetables (Grocery),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
420,Snacks (Grocery),2020-06-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
1143,Medicines (Medical),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Medical,Monthly
1500,Petrol,2020-06-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Local Transport,Monthly
660,Notebook,2020-06-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Education,Monthly
190,Chips (Grocery),2020-06-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Grocery,Monthly
3599,Nurnary plants,2020-06-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,One Time,Monthly
29860,Mobile for Saket,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Yearly,Yearly
14820,Melody,2020-07-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
10000,Pinky,2020-07-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Yearly,Yearly
6800,Home Expense,2020-07-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
4300,Cash for regular use,2020-07-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
313,ATRIA CONVERGENCE TECHMUMBAIIN (Cable),2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1710,Milk refill,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1730,BESCOM,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
175,Medicine (Medical),2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Medical,Monthly
867,Grocery,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
589,Airtel,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
1506,Grocery,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
8316,Stuti Books,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Education,Monthly
600,Stuti dance tuition fee,2020-07-01T11:08:39.000+00:00,Zing Current Account,Must,Recursive,Education,Monthly
120,Chips (Grocery),2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Grocery,Monthly
101,Extra milk,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Regular Expenses,Monthly
550,Saket Book,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Education,Monthly
590,Dry fruits (Grocery),2020-07-01T11:08:39.000+00:00,Zing Current Account,Must,One Time,Grocery,Monthly
270,Chinni birthday,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Nice,One Time,Hotel,Monthly
300,Snacks (Grocery),2020-07-01T11:08:39.000+00:00,Zing Current Account,Nice,One Time,Grocery,Monthly
1317,Grocery,2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
580,Bakery items (Grocery),2020-07-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Grocery,Monthly
5000,Home Expense,2020-08-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Must,Recursive,Regular Expenses,Monthly
1478,Manya gift and Pinky dress,2020-07-01T11:08:39.000+00:00,Pinky HDFC Debit Card,Nice,One Time,Gift,Monthly
100000,Ambabhavani Denagi,2020-08-01T11:08:39.000+00:00,Zing HDFC Dabit Card,Nice,One Time,Yearly,Yearly
1498,Stuti Mobile recharge,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,One Time,Regular Expenses,Monthly
314,Cable TV,2020-08-01T11:08:39.000+00:00,Zing Credit Card,Must,Recursive,Regular Expenses,Monthly
